createdAt,actorId,action,metadata
2026-08-05T03:14:37.843Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T03:14:09.524Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T03:02:52.134Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:54:52.836Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:51:39.275Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:49:12.152Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:44:53.421Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:33:12.153Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:31:12.426Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:30:17.842Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:20:25.627Z,cmsf38z9p0004r4fxg4wuwoxh,auth.login,"{""target"":""viewer@constellation.local""}"
2026-08-05T02:20:24.954Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-05T02:19:52.191Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:40:57.721Z,cmsf38z600002r4fxublnkbhg,workflow.update,"{""target"":""cmsf4ffa20004fsfxnz6elmex""}"
2026-08-04T20:40:57.303Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:40:35.788Z,cmsf38z600002r4fxublnkbhg,workflow.create,"{""target"":""incident-response""}"
2026-08-04T20:39:06.258Z,cmsf38z600002r4fxublnkbhg,workflow.create,"{""target"":""cron-triggered-digest""}"
2026-08-04T20:39:06.077Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:26:25.997Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:25:23.265Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:07:56.141Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
2026-08-04T20:06:06.630Z,cmsf38z600002r4fxublnkbhg,auth.login,"{""target"":""admin@constellation.local""}"
